features	weights	abs_weight
cg01336162/TGFBR3	0.811610382930858	0.811610382930858
cg03289872/ZNF667	0.812472978285643	0.812472978285643
cg23971987/NA	0.81403352821524	0.81403352821524
cg16618417/ARHGEF18	0.814684436197136	0.814684436197136
cg04587428/NDUFS6	0.816106422620184	0.816106422620184
cg10204259/VPS13D	0.817031085080283	0.817031085080283
cg25106791/CARD11	0.818168727792402	0.818168727792402
cg24360909/SHC4	0.818569065741601	0.818569065741601
cg07460565/ZNF236	0.819082506107169	0.819082506107169
cg21693422/TBCD	0.819437486111657	0.819437486111657
cg20063728/PDGFA	0.81986531620069	0.81986531620069
cg07076850/NA	0.820846080716442	0.820846080716442
cg09363068/COX19	0.821615492910521	0.821615492910521
cg16825062/RICH2	0.822430464811435	0.822430464811435
cg08730131/RICH2	0.823196253050118	0.823196253050118
cg02319016/PAK2	0.824567980468846	0.824567980468846
cg09241885/C20orf118	0.825949680569211	0.825949680569211
cg08615820/PI4KA	0.829830078261767	0.829830078261767
cg19358877/ZNF471	0.830392044534157	0.830392044534157
cg00869668/SCARF1	0.839514580782614	0.839514580782614
cg27436190/ZNF236	0.845286920440881	0.845286920440881
cg09016797/NA	0.846407282657014	0.846407282657014
cg03601836/CLDN1	0.848370130262762	0.848370130262762
cg12353788/CHD3	0.84965228487467	0.84965228487467
cg22660196/PHACTR2	0.851715722764532	0.851715722764532
cg16829924/PRR5L	0.851746156165311	0.851746156165311
cg00674365/ZNF471	0.853432935504208	0.853432935504208
cg04131468/RICH2	0.8538202192228	0.8538202192228
cg19811761/ZNF471	0.85451092369023	0.85451092369023
cg16184737/TTYH3	0.854766536753143	0.854766536753143
cg07880190/NA	0.856162928463493	0.856162928463493
cg11307417/ZNF589	0.857684282557229	0.857684282557229
cg10202714/ACSF3	0.859908164727441	0.859908164727441
cg00018103/NA	0.860149544068346	0.860149544068346
cg16323330/MSI2	0.864493776732343	0.864493776732343
cg13104880/NA	0.87313033173348	0.87313033173348
cg09237133/SECTM1	0.874320900850237	0.874320900850237
cg10156706/CDKL4	0.876175673764424	0.876175673764424
cg18052713/MSI2	0.88511183750239	0.88511183750239
cg24042854/C3orf21	0.888360902730978	0.888360902730978
cg07499259/TNFRSF8	0.900697856503891	0.900697856503891
cg26446535/GRLF1	0.90700992841301	0.90700992841301
cg13798228/PRKCZ	0.915729561808929	0.915729561808929
cg10512427/ACSF3	0.91590811250052	0.91590811250052
cg00463840/TNFRSF8	0.918072767787968	0.918072767787968
cg26289317/LPL	0.929495049552516	0.929495049552516
cg01399475/TBC1D19	0.932405851460165	0.932405851460165
cg19606131/SEC11A	0.933632278869238	0.933632278869238
cg08329113/VAC14	0.93931819998299	0.93931819998299
cg12712184/NA	0.949580247812026	0.949580247812026
cg05314414/ACSF3	0.953682533570424	0.953682533570424
cg14635659/NA	0.958475026651931	0.958475026651931
